tool,context,text
"common","buttons","Next"
"common","buttons","Save"
"common",,"Are you sure you want to delete?"
"common",,"Demo"
"common",,"Edit Profiles"
"common",,"Extension"
"common",,"Farmer"
"common",,"Hide Options"
"common",,"Name"
"common",,"New Profile"
"common",,"Select Country"
"common",,"Select Language"
"common",,"Show Options"
"common",,"Who is using?"
"common_crop_activity",,"Apply Fertiliser"
"common_crop_activity",,"Land Preparation"
"common_crop_activity",,"Sowing"
"common_crop_activity",,"Watering"
"common_crop_activity",,"Weeding"
"common_crops",,"Avocado"
"common_crops",,"Beans"
"common_crops",,"Cassava"
"common_crops",,"Cotton"
"common_crops",,"Cowpeas"
"common_crops",,"Groundnuts"
"common_crops",,"Maize"
"common_crops",,"Mangoes"
"common_crops",,"Onions"
"common_crops",,"Paw-paw"
"common_crops",,"Pigeon Peas"
"common_crops",,"Pumpkins"
"common_crops",,"Rice"
"common_crops",,"Sorghum"
"common_crops",,"Soya Beans"
"common_crops",,"Sunflower"
"common_crops",,"Sweet Potatoes"
"common_crops",,"Tobacco"
"common_crops",,"Tomatoes"
"common_days","day_1","Monday"
"common_days","day_2","Tuesday"
"common_days","day_3","Wednesday"
"common_days","day_4","Thursday"
"common_days","day_5","Friday"
"common_days","day_6","Saturday"
"common_days","day_7","Sunday"
"common_days","day_short_1","Mon"
"common_days","day_short_2","Tue"
"common_days","day_short_3","Wed"
"common_days","day_short_4","Thu"
"common_days","day_short_5","Fri"
"common_days","day_short_6","Sat"
"common_days","day_short_7","Sun"
"common_months","month_01","January"
"common_months","month_02","February"
"common_months","month_03","March"
"common_months","month_04","April"
"common_months","month_06","June"
"common_months","month_07","July"
"common_months","month_08","August"
"common_months","month_09","September"
"common_months","month_10","October"
"common_months","month_11","November"
"common_months","month_12","December"
"common_months","month_short_01","Jan"
"common_months","month_short_02","Feb"
"common_months","month_short_03","Mar"
"common_months","month_short_04","Apr"
"common_months","month_short_05","May"
"common_months","month_short_06","Jun"
"common_months","month_short_07","Jul"
"common_months","month_short_08","Aug"
"common_months","month_short_09","Sep"
"common_months","month_short_10","Oct"
"common_months","month_short_11","Nov"
"common_months","month_short_12","Dec"
"common_weather",,"Clear"
"common_weather",,"Cloudy"
"common_weather",,"Heavy Rain"
"common_weather",,"Light Rain"
"common_weather",,"Rain"
"crop-probability",,"Calculated by using FAO CLIMWAT 2.0 for Cropwat and Cropwat 8.0 and climate data for Nkhotakota Met Station."
"crop-probability",,"Chance of receiving the water requirement in the days to maturity for this crop variety"
"crop-probability",,"Crop"
"crop-probability",,"Crop Information"
"crop-probability",,"Crop probabilities depend on when the season starts.\nHere you can see the probabilities of the season starting at different dates"
"crop-probability",,"Crop water requirement (mm)"
"crop-probability",,"Days to maturity"
"crop-probability",,"Each row contains information about crop, variety, days to maturity and water requirement. Probabilities of receiving requirements are shown for different planting dates"
"crop-probability",,"Here we can see information for a specific crop variety"
"crop-probability",,"In the crop information table, you will be able to see the probabilities for different crops through the different seasons."
"crop-probability",,"Longitude:34.26, Latitude: -12.91 Altitude: 500."
"crop-probability",,"Now you are ready to explore the crop information tool"
"crop-probability",,"Probability of season start on or before date"
"crop-probability",,"Station"
"crop-probability",,"The crop filter shows more information for specific crops"
"crop-probability",,"The maturity and water requirements can be used to calculate the chance of satisfying these conditions for a specific planting date"
"crop-probability",,"This is the number of days to maturity for the variety"
"crop-probability",,"This is water requirement for the variety"
"crop-probability",,"Variety"
"extension",,"Budget"
"extension",,"Choose language"
"extension",,"Click on the button below to retry"
"extension",,"Climate"
"extension",,"Farmer Activities"
"extension",,"Manual"
"extension",,"Monitoring"
"extension",,"Options"
"extension",,"Privacy Policy"
"extension",,"Probability"
"extension",,"Reload"
"extension",,"Resources"
"extension",,"Seasonal Calendar"
"extension",,"Something went wrong..."
"extension",,"Take App Tour"
"farmer-activity",,"Activity"
"farmer-activity",,"After watching continue to the activity"
"farmer-activity",,"In this video you will learn about the PICSA step:"
"farmer-activity",,"Intro"
"farmer-activity",,"Tool"
"manual",,"Activity Flow Chart"
"manual",,"After the season"
"manual",,"Compare different options and plans"
"manual",,"Comparing different options and planning using Participatory Budgets"
"manual",,"Crop Info"
"manual",,"Download the PICSA Manual"
"manual",,"During the season"
"manual",,"Farmers choose"
"manual",,"Historic climate"
"manual",,"Introduction"
"manual",,"Is the climate changing?"
"manual",,"Just before the season"
"manual",,"Learn and improve"
"manual",,"Livelihood Info"
"manual",,"Livestock Info"
"manual",,"Long before the season"
"manual",,"Options by context"
"manual",,"PICSA"
"manual",,"Probability and Risk"
"manual",,"Resource Allocation Map (RAM)"
"manual",,"Response to forecast"
"manual",,"Review"
"manual",,"Revisit"
"manual",,"Seasonal forecast"
"manual",,"Select and amend"
"manual",,"Short-term forecasts and warnings"
"manual",,"Step A"
"manual",,"Step B"
"manual",,"Step C"
"manual",,"Step D"
"manual",,"Step E"
"manual",,"Step F"
"manual",,"Step G"
"manual",,"Step H"
"manual",,"Step I"
"manual",,"Step J"
"manual",,"Step K"
"manual",,"Step L"
"manual",,"The farmer decides"
"manual",,"What are the opportunities and risks?"
"manual",,"What are the options for the farmer?"
"manual",,"What are the probabilities and risks?"
"manual",,"What does the farmer currently do?"
"monitoring",,"All Submitted"
"monitoring",,"Create New"
"monitoring",,"Forms"
"monitoring",,"Records"
"monitoring",,"Submissions"
"monitoring",,"Submit"
"option",,"Activities"
"option",,"Add"
"option",,"Add Option"
"option",,"Bad"
"option",,"Benefits"
"option",,"Benefits and who"
"option",,"Both"
"option",,"Days"
"option",,"Decisions"
"option",,"Female"
"option",,"Finish"
"option",,"Good"
"option",,"High"
"option",,"Investment"
"option",,"Investment in terms of money and time"
"option",,"Low"
"option",,"Male"
"option",,"Medium"
"option",,"Mid"
"option",,"Money"
"option",,"Months"
"option",,"Name of practice"
"option",,"Neutral"
"option",,"Only"
"option",,"Performance"
"option",,"Performance in high, mid and low rainfall"
"option",,"Practice"
"option",,"Risk"
"option",,"Risks"
"option",,"Risks or disadvantages"
"option",,"Time"
"option",,"Time to start benefiting"
"option",,"Weeks"
"option",,"Who does activity"
"option",,"Who does the activity"
"option",,"Who makes decisions"
"option",,"and"
"option",,"benefit"
"option",,"risk"
"resources",,"Collection not found"
"resources",,"Collections"
"resources",,"Download All"
"resources",,"Downloaded"
"resources",,"Files"
"resources",,"Input at least 3 letters to search"
"resources",,"Links"
"resources",,"Manage Downloads"
"resources",,"No results found"
"resources",,"Search"
"resources",,"Search Resources"
"resources",,"Size"
"resources",,"Title"
"resources",,"Type"
"seasonal-calendar",,"Calendar Time"
"seasonal-calendar",,"Calendar name"
"seasonal-calendar",,"Copy"
"seasonal-calendar",,"Create Calendar"
"seasonal-calendar",,"Example Calendar"
"seasonal-calendar",,"No saved calendars"
"seasonal-calendar",,"Number of Months"
"seasonal-calendar",,"Please add title"
"seasonal-calendar",,"Please enter start month"
"seasonal-calendar",,"Please enter total months"
"seasonal-calendar",,"Please select at least 1 crop"
"seasonal-calendar",,"Save Copy"
"seasonal-calendar",,"Saved Calendars"
"seasonal-calendar",,"Season Crops"
"seasonal-calendar",,"Start Month "
