id,resource_file_id,created_at,modified_at,description,storage_file,external_url,cover_image,title,language_code,country_code,sort_order,filename,size_kb,mimetype,md5_checksum
farmer_participatory_budget_zm_ny_360p,picsa_farmer_pbs,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F6.%20%20Participatory%20Budgets.mp4?alt=media&token=83083852-0b13-4fd5-a607-e33ed4745396,,Participatory Budgets,chichewa,,1,farmer_participatory_budget_zm_ny_360p.mp4,22868,video/mp4,a52c0c86ffe01ff6430ef03575c4f1b3
farmer_probability_risk_mw_ny_360p,picsa_farmer_probability,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F4.%20Probability%20and%20Risk.mp4?alt=media&token=a40efecf-97c1-497c-9ac3-d359c6b35bdc,,Probability and Risk,chichewa,,1,farmer_probability_risk_mw_ny_360p.mp4,15476,video/mp4,7a16e9f97cc38af86db73b5375620188
farmer_probability_risk_zm_ny_360p,picsa_farmer_probability,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F4.%20%20Probability%20and%20Risk.mp4?alt=media&token=fde8fd2a-b948-41ee-8faf-006554296294,,Probability and Risk,chichewa,,1,farmer_probability_risk_zm_ny_360p.mp4,15212,video/mp4,3bcb23740c3bc04ddab8e518882abe0e
farmer_ram_mw_ny_360p,picsa_farmer_ram,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F1.%20Resource%20Allocation%20Map.mp4?alt=media&token=389663db-b51b-447f-97fb-8cac3596cf08,,Resource Allocation Maps,chichewa,,1,farmer_ram_mw_ny_360p.mp4,13849,video/mp4,3a45d2aa858b9346b82344f3f9b07be1
farmer_ram_zm_ny_360p,picsa_farmer_ram,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F1.%20%20Resource%20Allocation%20Maps.mp4?alt=media&token=d5279c07-7ccb-42b7-980b-6d168cce40a2,,Resource Allocation Maps,chichewa,,1,farmer_ram_zm_ny_360p.mp4,13446,video/mp4,e0afe2791e2ed24bed2148f9977e34a9
farmer_seasonal_calendar_mw_ny_360p,picsa_farmer_calendar,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_mw_ny_360p%2F2.%20Seasonal%20Calendar.mp4?alt=media&token=3c51f6bc-82bb-4a85-83b2-7740ca8a0d14,,Seasonal Calendar,chichewa,,1,farmer_seasonal_calendar_mw_ny_360p.mp4,15010,video/mp4,61e55aa62764a62c9fd6f181e1c092d0
farmer_seasonal_calendar_zm_ny_360p,picsa_farmer_calendar,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Ffarmer_zm_ny_360p%2F2.%20%20Seasonal%20Calendar.mp4?alt=media&token=e47c8178-2416-42b3-9c72-8df2efcf3c95,,Seasonal Calendar,chichewa,,1,farmer_seasonal_calendar_zm_ny_360p.mp4,12415,video/mp4,3420a2b421d6c6da8441e971b8520bc0
downscaled_forecast_2023_kasungu_ny,downscaled_forecast_2023_kasungu_en,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FKASUNGU_Chichewa_Poster_2023_2024_compressed.pdf?alt=media&token=18da5ae1-09dc-4224-b742-0e555cf584fe,,ULOSI WA KAGWEDWE KA MVULA M’BOMA LA KASUNGU M’DZINJA LA 2023-2024,ny,,1,forecast-kasungu-chichewa.pdf,381,application/pdf,5e9c7141d11bc6fab0c113487e46d410
downscaled_forecast_2023_nkhotakota_ny,downscaled_forecast_2023_nkhotakota_en,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FNKHOTAKOTA_Chichewa_Poster_2023_2024_compressed.pdf?alt=media&token=2e4d14cf-2e82-48ac-9222-e8020791c50b,,ULOSI WA KAGWEDWE KA MVULA M’BOMA LA NKHOTAKOTA M’DZINJA LA 2023-2024,ny,,1,forecast-nkhotakota-chichewa.pdf,416,application/pdf,70a8fb7adb64982e630d4d3890880c72
rainfall_forecast_2023_zm_ny,rainfall_forecast_2023_zm,2024-04-05 15:30:18.009296+00,2024-04-05 15:30:18.009296+00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FZambia_Chinyanja_Rainfall_Forecast_2023_2024.pdf?alt=media&token=d700185e-b833-47b1-95a9-bc1e83d13bc9,,KULOZERA ZA NYENGO YA MVULA YA CAKA CA 2023/2024,ny,,1,Zambia_Chinyanja_Rainfall_Forecast_2023_2024.pdf,500,application/pdf,76a01e3a99ff0abca5708bd020c3b5bf
