id,modified_at,description,storage_file,external_url,cover_image,title,language_code,country_code,sort_order,filename,size_kb,mimetype,md5_checksum,owner
dff5c161-3541-44a4-8326-0affafd26812,2024-08-12T21:35:06.89804+00:00,Effect of Weather,zm/resources/LUSAKA ZMD WEATHER.pdf,,zm/resources/covers/PICTO.png,Lusaka ZMD Weather Raymond Testing,global_en,zm,-1,LUSAKA ZMD WEATHER.pdf,392,application/pdf,,
downscaled_forecast_2023_kasungu_en,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FKASUNGU_English_Poster_2023_2024_compressed.pdf?alt=media&token=79f46884-e20e-45fd-b2f1-aa096c4e61db,global/images/placeholder.svg,"KASUNGU DISTRICT DOWNSCALED SEASONAL FORECAST, 2023-2024",en,global,1,forecast-kasungu-english.pdf,356,application/pdf,1e9d080d9395f14687100191e75a02f0,
downscaled_forecast_2023_nkhotakota_en,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FNKHOTAKOTA_English_Poster_2023_2024_compressed.pdf?alt=media&token=0b2b4317-4c0a-44f5-a681-ce10b45af841,global/images/placeholder.svg,"NKHOTAKOTA DISTRICT DOWNSCALED SEASONAL FORECAST, 2023-2024",en,global,1,forecast-nkhotakota-english.pdf,396,application/pdf,b6221f1f62791e9110471b2ed04b9954,
ea67ca5b-021e-4c4b-bde4-e512aa96970f,2026-07-13T13:33:57.238048+00:00,Strong El nino impacts,mw/resources/El_Nino_Impacts_over_Malawi-30_May_2026.pdf,,mw/resources/covers/EL nino impacts.PNG,El_Nino_Impacts_over_Malawi-30_May_2026,mw_en,mw,-1,El_Nino_Impacts_over_Malawi-30_May_2026.pdf,354,application/pdf,,9fc92f06-8c98-4c95-9f01-14a76e5e7898
f399ed0f-e6c1-48ed-9d42-75431137d74e,2024-08-05T08:51:32.227045+00:00,"Weather information to enhance informed decision in farming ",mw/resources/MWJanuary22024.pdf,,mw/resources/covers/Capture.PNG,Malawi weather forecast January 2024,global_en,mw,-1,MWJanuary22024.pdf,602,application/pdf,,
f6d5e0a9-a600-45f4-947d-1d98dd9ca94b,2024-08-12T08:54:12.247448+00:00,10 day weather bulletin,zm/resources/10-day-Weather-bulletin-10-to-19-Feb-2024.pdf,,zm/resources/covers/Screenshot (32).png,10 day Forecast,global_en,zm,-1,10-day-Weather-bulletin-10-to-19-Feb-2024.pdf,502,application/pdf,,
fb48f321-09ba-4205-9e6a-f52de5a55c3d,2024-08-12T09:03:11.808491+00:00,"Opportunities and 
Challenges ",zm/resources/Soya_Beans_Production_in_Zambia_Opportunities_and_.pdf,,zm/resources/covers/PISCA1.PNG,Soya Beans Production in Zambia,global_en,zm,-1,Soya_Beans_Production_in_Zambia_Opportunities_and_.pdf,128,application/pdf,,
gap,2024-04-05T15:30:18.009296+00:00,And Natural Resource Management in Malawi,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/crop-info%2FGAP_2021.pdf?alt=media&token=4832ad76-cf14-490f-8fba-73bd5845d440,global/images/placeholder.svg,Guide to Agriculture Production,,global,1,GAP_2021.pdf,3646,application/pdf,ea0e86161b3eae185ff5bbce71975057,
monthly_forecasts_2023_kasungu,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FKasungu_Station_based_Seasonal_Forecasts_2023_compressed.pdf?alt=media&token=83015293-8017-4026-9b52-1faf2f51f7e9,global/images/placeholder.svg,"MONTHLY FORECASTS FOR SPECIFIC AREAST, KASUNGU DISTRICT, 2023-2024",en,global,1,Kasungu_Station_based_Seasonal_Forecasts_2023_compressed.pdf,482,application/pdf,f86ce626f25cd529e0e27dea841aecc0,
monthly_forecasts_2023_nkhotakota,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FNkhotakota_Station_based_Seasonal_Forecasts_2023_compressed.pdf?alt=media&token=a3b9172b-c6d0-4ca4-9c10-e4923d58fefb,global/images/placeholder.svg,"MONTHLY FORECASTS FOR SPECIFIC AREAST, NKHOTAKOTA DISTRICT, 2023-2024",en,global,1,Nkhotakota_Station_based_Seasonal_Forecasts_2023_compressed.pdf,423,application/pdf,7f3d047c72a3eae483c098e198e297de,
picsa_farmer_calendar,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Seasonal Calendars,,global,1,,0,,,
picsa_farmer_historic_climate,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Historic Climate,,global,1,,0,,,
picsa_farmer_options,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Options,,global,1,,0,,,
picsa_farmer_pbs,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Participatory Budgets,,global,1,,0,,,
picsa_farmer_probability,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Probability and Risk,,global,1,,0,,,
picsa_farmer_ram,2024-04-05T15:30:18.009296+00:00,,,,global/images/placeholder.svg,PICSA Videos - Resource Allocation Maps,,global,1,,0,,,
picsa_manual,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual.pdf?alt=media&token=8d5c21da-2252-44b7-8709-a3f12a593c2f,global/images/placeholder.svg,PICSA Manual (Extension),english,global,1.1,picsa-field-manual-en.pdf,1439,application/pdf,ee548d6d7be566890f836d6e4cab24f7,
picsa_manual_farmer,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fmanuals%2Fpicsa-manual-farmer.pdf?alt=media&token=92ddbd84-7ae8-44d5-ac27-5876e92fab37,global/images/placeholder.svg,PICSA Manual (Farmer),,global,1,picsa-manual-farmer.pdf,1184,application/pdf,7d191f7148a023ac812daa0a2dd2826c,
rainfall_forecast_2023_zm,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FZambia_Rainfall_Forecast_2023_2024_compressed.pdf?alt=media&token=21afe2eb-e809-42ac-a187-085ea8217cfd,global/images/placeholder.svg,RAINFALL FORECAST 2023/2024 SEASON,en,global,1,Zambia_Rainfall_Forecast_2023_2024_compressed.pdf,463,application/pdf,a7a9ac7d24d79177208dc2539eed07b8,
ram_refresher,2024-04-05T15:30:18.009296+00:00,A summary of how to create resource allocation maps (RAMs),,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/picsa%2Fvideos%2Fram-refresher.mp4?alt=media&token=fcc2d91b-3e61-4def-a147-30eced72186c,global/images/placeholder.svg,RAM Refresher,,global,1,ram-refresher.mp4,11222,video/mp4,1ed969eee267505639eb81256227f176,
seasonal_forecast_2023_chipata,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FChipata_Seasonal_Forecast_2023_compressed.pdf?alt=media&token=7b0eef18-7352-4340-b1dc-7d3d3887deb1,global/images/placeholder.svg,Seasonal Forecast Chipata 2023,en,global,1,Chipata_Seasonal_Forecast_2023_compressed.pdf,265,application/pdf,e518fb9173765a36e7d82bb4ae3577d9,
seasonal_forecast_2023_petauke,2024-04-05T15:30:18.009296+00:00,,,https://firebasestorage.googleapis.com/v0/b/picsa-apps.appspot.com/o/weather%2FSeasonal%20Forecasts%2FPetauke_Seasonal_Forecast_2023_compressed.pdf?alt=media&token=a6d05f21-a89d-45c5-bc19-cea3e549ba52,global/images/placeholder.svg,Seasonal Forecast Petauke 2023,en,global,1,Petauke_Seasonal_Forecast_2023_compressed.pdf,260,application/pdf,3cbbd07e607443e5a0c6bc0d302225f7,
